file_path,lib_id,missing_metadata
/projects/caeg/data/production/LV3/003/047/LV3003047130,LV3003047130,False
/projects/caeg/data/production/LV3/003/047/LV3003047131,LV3003047131,False
/projects/caeg/data/production/LV3/003/047/LV3003047132,LV3003047132,False
/projects/caeg/data/production/LV3/003/047/LV3003047133,LV3003047133,False
/projects/caeg/data/production/LV3/003/047/LV3003047134,LV3003047134,False
/projects/caeg/data/production/LV3/003/047/LV3003047136,LV3003047136,False
/projects/caeg/data/production/LV3/003/047/LV3003047137,LV3003047137,False
/projects/caeg/data/production/LV3/003/047/LV3003047138,LV3003047138,False
/projects/caeg/data/production/LV3/003/047/LV3003047139,LV3003047139,False
/projects/caeg/data/production/LV3/003/047/LV3003047140,LV3003047140,False
/projects/caeg/data/production/LV3/003/047/LV3003047141,LV3003047141,False
/projects/caeg/data/production/LV3/003/047/LV3003047142,LV3003047142,False
/projects/caeg/data/production/LV3/003/047/LV3003047143,LV3003047143,False
/projects/caeg/data/production/LV3/003/047/LV3003047144,LV3003047144,False
/projects/caeg/data/production/LV3/003/047/LV3003047145,LV3003047145,False
/projects/caeg/data/production/LV3/003/047/LV3003047146,LV3003047146,False
/projects/caeg/data/production/LV3/003/047/LV3003047147,LV3003047147,False
/projects/caeg/data/production/LV3/003/047/LV3003047148,LV3003047148,False
/projects/caeg/data/production/LV3/003/047/LV3003047149,LV3003047149,False
/projects/caeg/data/production/LV3/003/047/LV3003047150,LV3003047150,False
/projects/caeg/data/production/LV3/003/047/LV3003047151,LV3003047151,False
/projects/caeg/data/production/LV3/003/047/LV3003047152,LV3003047152,False
/projects/caeg/data/production/LV3/003/047/LV3003047153,LV3003047153,False
/projects/caeg/data/production/LV3/003/047/LV3003047154,LV3003047154,False
/projects/caeg/data/production/LV3/003/047/LV3003047155,LV3003047155,False
/projects/caeg/data/production/LV3/003/047/LV3003047156,LV3003047156,False
/projects/caeg/data/production/LV3/003/047/LV3003047157,LV3003047157,False
/projects/caeg/data/production/LV3/003/047/LV3003047158,LV3003047158,False
/projects/caeg/data/production/LV3/003/047/LV3003047159,LV3003047159,False
/projects/caeg/data/production/LV3/003/047/LV3003047160,LV3003047160,False
/projects/caeg/data/production/LV3/003/047/LV3003047161,LV3003047161,False
/projects/caeg/data/production/LV3/003/047/LV3003047162,LV3003047162,False
/projects/caeg/data/production/LV3/003/047/LV3003047163,LV3003047163,False
/projects/caeg/data/production/LV3/003/047/LV3003047164,LV3003047164,False
/projects/caeg/data/production/LV3/003/047/LV3003047166,LV3003047166,False
/projects/caeg/data/production/LV3/003/047/LV3003047167,LV3003047167,False
/projects/caeg/data/production/LV3/003/047/LV3003047168,LV3003047168,False
/projects/caeg/data/production/LV3/003/047/LV3003047169,LV3003047169,False
/projects/caeg/data/production/LV3/003/061/LV3003061472,LV3003061472,False
/projects/caeg/data/production/LV3/003/061/LV3003061473,LV3003061473,False
/projects/caeg/data/production/LV3/003/061/LV3003061474,LV3003061474,False
/projects/caeg/data/production/LV3/003/061/LV3003061475,LV3003061475,False
/projects/caeg/data/production/LV3/003/061/LV3003061476,LV3003061476,False
/projects/caeg/data/production/LV3/003/061/LV3003061477,LV3003061477,False
/projects/caeg/data/production/LV3/003/061/LV3003061485,LV3003061485,False
/projects/caeg/data/production/LV3/003/061/LV3003061486,LV3003061486,False
/projects/caeg/data/production/LV3/003/061/LV3003061487,LV3003061487,False
/projects/caeg/data/production/LV3/003/061/LV3003061488,LV3003061488,False
/projects/caeg/data/production/LV3/003/061/LV3003061489,LV3003061489,False
/projects/caeg/data/production/LV3/003/061/LV3003061492,LV3003061492,False
/projects/caeg/data/production/LV3/003/061/LV3003061500,LV3003061500,False
/projects/caeg/data/production/LV3/003/061/LV3003061501,LV3003061501,False
/projects/caeg/data/production/LV3/003/061/LV3003061503,LV3003061503,False
/projects/caeg/data/production/LV3/003/061/LV3003061504,LV3003061504,False
/projects/caeg/data/production/LV3/003/061/LV3003061505,LV3003061505,False
/projects/caeg/data/production/LV3/003/061/LV3003061506,LV3003061506,False
/projects/caeg/data/production/LV3/003/061/LV3003061513,LV3003061513,False
/projects/caeg/data/production/LV3/003/061/LV3003061514,LV3003061514,False
/projects/caeg/data/production/LV3/003/061/LV3003061515,LV3003061515,False
/projects/caeg/data/production/LV3/003/061/LV3003061516,LV3003061516,False
/projects/caeg/data/production/LV3/003/061/LV3003061517,LV3003061517,False
/projects/caeg/data/production/LV3/003/061/LV3003061518,LV3003061518,False
/projects/caeg/data/production/LV3/003/061/LV3003061527,LV3003061527,False
/projects/caeg/data/production/LV3/003/061/LV3003061528,LV3003061528,False
/projects/caeg/data/production/LV3/003/061/LV3003061529,LV3003061529,False
/projects/caeg/data/production/LV3/003/061/LV3003061530,LV3003061530,False
/projects/caeg/data/production/LV3/003/061/LV3003061531,LV3003061531,False
/projects/caeg/data/production/LV3/003/061/LV3003061533,LV3003061533,False
/projects/caeg/data/production/LV3/003/061/LV3003061539,LV3003061539,False
/projects/caeg/data/production/LV3/003/061/LV3003061541,LV3003061541,False
/projects/caeg/data/production/LV3/003/061/LV3003061543,LV3003061543,False
/projects/caeg/data/production/LV3/003/061/LV3003061544,LV3003061544,False
/projects/caeg/data/production/LV3/003/061/LV3003061545,LV3003061545,False
/projects/caeg/data/production/LV3/003/061/LV3003061546,LV3003061546,False
/projects/caeg/data/production/LV3/003/061/LV3003061555,LV3003061555,False
/projects/caeg/data/production/LV3/003/061/LV3003061556,LV3003061556,False
